,ace,berger_parker_d,brillouin_d,chao1,count_range,dominance,doubles,enspie,fisher_alpha,gini_index,goods_coverage,heip_e,hill,inv_simpson,kempton_taylor_q,margalef,max_count,mcintosh_d,mcintosh_e,mean_count,median_count,menhinick,min_count,num_doubletons,num_singletons,observed_features,percent_singletons,pielou_e,renyi,robbins,shannon,simpson_d,simpson_e,singles,std_count,strong,total_count,tsallis,unique_kmers,file_size
SRR1611146,524799.0,0.0003478062524596,12.791634908398397,524799.0,2208718.0,4.954009626869708e-06,0.0,201856.69292529623,44191.271119671954,0.4448568783993282,1.0,0.6847603680416391,201856.69292529623,201856.69292529623,254044.0593737421,23250.057230566727,2208969.0,0.9977867597498008,0.0076250988113782,12102.058205141397,8452.0,6.585168327967185,251.0,0.0,0.0,524799.0,0.0,0.971248041321182,12.215313283647136,0.0,12.792085158743214,4.954009626869708e-06,0.3846361996217527,0.0,15307.35422329933,0.3211554320330629,6351148044.0,0.9999950459903733,524799.0,5977356076
SRR21856499,524799.0,0.0061953171791032,12.692941509686078,524799.0,48407648.0,4.741029681223352e-05,0.0,21092.464448397317,43365.66254274058,0.4746765875585782,1.0,0.620357684757799,21092.464448397317,21092.464448397317,239100.3810954352,23038.539181665998,48407905.0,0.99312572157626,0.0225260944915774,14888.801611664656,9822.0,5.936994243691798,257.0,0.0,0.0,524799.0,0.0,0.963748674669008,9.956671120529167,0.0,12.69331272083873,4.741029681223352e-05,0.0401915103656777,0.0,72758.69034258794,0.3442501265081373,7813628197.0,0.9999525897031878,524799.0,4164440401
ERR594345,524799.0,7.964328971431766e-05,12.907156279096762,524799.0,2757405.0,3.558529094597067e-06,0.0,281014.9849605853,38259.21174255775,0.3733669901499481,1.0,0.7683432346207911,281014.9849605853,281014.9849605853,328404.4749858956,21624.149240178453,2761039.0,0.9981189542922,0.039326139054938,66058.75004906641,49718.0,2.818586214620867,3634.0,0.0,0.0,524799.0,0.0,0.9799921994797252,12.546163274155903,0.0,12.90725246003676,3.558529094597067e-06,0.5354716471650771,0.0,61527.35208302809,0.2689478286307575,34667565967.0,0.9999964414709054,524799.0,31835132881
ERR3586788,524799.0,0.000783345083998,11.965421721844123,524799.0,3944822.0,3.812824563796614e-05,0.0,26227.27542974733,45155.51953357994,0.6238635575556988,1.0,0.2997470469488886,26227.27542974733,26227.27542974733,246884.98331381008,23491.51785326784,3944986.0,0.9938391972394044,0.0118297476328346,9596.201202746195,4350.0,7.395147264391864,164.0,0.0,0.0,524799.0,0.0,0.9085238122421196,10.17455519517254,0.0,11.96595872578339,3.812824563796614e-05,0.0499758487149314,0.0,41839.50897613107,0.4713295760417001,5036076795.0,0.999961871754362,524799.0,4904191615
SRR12480233,524799.0,0.0163178229901078,11.69816085922603,524799.0,108703326.0,0.0005386148640007,0.0,1856.614191023591,43998.202306504114,0.5714480789585055,1.0,0.229421490122773,1856.614191023591,1856.614191023591,271374.05477712484,23200.993510857832,108703816.0,0.9768038902894703,0.0565393231676586,12693.73926589037,6435.0,6.4298628975186825,490.0,0.0,0.0,524799.0,0.0,0.8882230932175985,7.526509780491286,0.0,11.698582612270576,0.0005386148640007,0.0035377624405221,0.0,213037.30654679803,0.4262569803120272,6661661673.0,0.9994613851359992,524799.0,2627629499
SRR12479866,524799.0,0.0270292272132583,11.611128028270851,524799.0,210846733.0,0.0010542596519496,0.0,948.5329331827148,43372.12415983025,0.5366425957543153,1.0,0.210286950328448,948.5329331827148,948.5329331827148,314234.17884737684,23040.2120804466,210847314.0,0.9675415899266409,0.1079738477064908,14864.196741990743,8338.0,5.941905998110896,581.0,0.0,0.0,524799.0,0.0,0.8816109443392258,6.854916510103573,0.0,11.611495516146938,0.0010542596519496,0.0018074213807242,0.0,349316.34358866734,0.3944777861006115,7800715586.0,0.9989457403480504,524799.0,3107315139
SRR13122284,524799.0,0.007224797873481674,12.25483711022842,524799.0,30679549.0,0.00019699086655159488,0.0,5076.377486456129,45892.85754734602,0.4396522465774011,1.0,0.400401169374024,5076.377486456129,5076.377486456129,354866.32294399553,23672.218486874997,30680161.0,0.9859797869787709,.,8091.684370587596,5525.0,8.053358499701755,612.0,0.0,0.0,524799.0,0.0,0.9305063094184128,8.532353192983328,0.0,12.255485153551994,0.00019699086655159488,0.009672993825171406,0.0,81874.33583090523,0.31196723447915414,4246507866.0,0.9998030091334484,524799.0,1910431849
SRR17458616,524799.0,0.0003550240560975,12.946775143830395,524799.0,999370.0,3.001226954496892e-06,0.0,333197.0607893045,47778.92931654896,0.3671460131354007,1.0,0.8000773579902821,333197.0607893045,333197.0607893045,271007.21015595243,24119.52441561798,999388.0,0.9982864105902852,0.001732727995113,5363.933069613318,4431.0,9.891333030551776,18.0,0.0,0.0,524799.0,0.0,0.9830650469176088,12.716489368075369,0.0,12.9477242287641,3.001226954496892e-06,0.6349041457573366,0.0,4067.548307123559,0.2643635461655862,2814986711.0,0.9999969987730456,524799.0,1512957092
SRR12480292,524799.0,0.0033464150520948,12.576483436964727,524799.0,16821373.0,6.598436765628051e-05,0.0,15155.104694025482,45163.266723527566,0.4085388857211729,1.0,0.5522637924039936,15155.104694025482,15155.104694025482,357795.4106576383,23493.434017604835,16822124.0,0.991890913617586,0.0156386625759946,9578.732080282163,6822.0,7.4018876077377,751.0,0.0,0.0,524799.0,0.0,0.9549207912915388,9.626092697684834,0.0,12.57704269389234,6.598436765628051e-05,0.0288779222026442,0.0,55547.17400743426,0.2905679506173595,5026909017.0,0.9999340156323436,524799.0,2165453893
ERR594348,524799.0,0.0001474840868002,12.65622209815032,524799.0,3865297.0,6.627027588609234e-06,0.0,150897.21396645982,39118.89308825291,0.4943054799697037,1.0,0.5978429230419722,150897.21396645982,150897.21396645982,261662.56371922247,21875.838360426103,3867257.0,0.9974318582466408,0.030154453690424,49964.88267508132,29487.0,3.240888303537676,1960.0,0.0,0.0,524799.0,0.0,0.9609418489291636,11.924354181805247,0.0,12.656344662873844,6.627027588609234e-06,0.2875333488944526,0.0,78650.77947435282,0.3672258746945955,26221520463.0,0.9999933729724114,524799.0,23090874794
